S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
1,Texas church mass shooting,"Sutherland Springs, TX",11/5/2017,Church,Close,random,unknown,"Devin Patrick Kelley, 26, an ex-air force officer, shot and killed 26 people and wounded 20 at a church in Texas. He was found dead later in his vehicle. ",26,20,46,0,26,,,No,White,M,,
2,Walmart shooting in suburban Denver,"Thornton, CO",11/1/2017,Wal-Mart,Open,random,unknown,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",3,0,3,0,47,,,No,White,M,,
3,Edgewood businees park shooting,"Edgewood, MD",10/18/2017,Remodeling Store,Close,coworkers,unknown,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",3,3,6,0,37,,Advance Granite Store,No,Black,M,,
4,Las Vegas Strip mass shooting,"Las Vegas, NV",10/1/2017,Las Vegas Strip Concert outside Mandala Bay,Open,random,unknown,"Stephen Craig Paddock, opened fire from the 32nd floor of Manadalay Bay hotel at Last Vegas concert goers for no obvious reason. He shot himself and died on arrival of law enforcement agents. He was 64",59,527,585,1,64,,,Unclear,White,M,36.181271,-115.134132
5,San Francisco UPS shooting,"San Francisco, CA",6/14/2017,UPS facility,Close,coworkers,,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",3,2,5,0,38,1,,Yes,Asian,M,,
6,Pennsylvania supermarket shooting,"Tunkhannock, PA",6/7/2017,Weis grocery,Close,coworkers,terrorism,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,,24,1,Weis grocery,Unclear,White,M,,
7,Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,manufacturer Fiamma Inc.,Close,coworkers,unemployement,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",5,0,5,,45,1,manufacturer Fiamma Inc.,Unclear,,M,,
8,Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,a nursing home,Close,coworkers,,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack.",3,0,3,1,43,1,some nursing home,Yes,White,M,,
9,Fresno downtown shooting,"Fresno, California",4/18/2017,a street in downtown,Open,random,racism,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,,39,,,Unclear,Black,M,,
10,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,baggage claim area of the airport,Close,random,terrorism,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. ",5,6,11,,26,,,Yes,Latino,M,,
11,Cascade Mall shooting,"Burlington, WA",9/23/2016,cosmetics section of a Macyâ€™s department store,Close,women,terrorism,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macyâ€™s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",5,0,5,,20,,,Yes,,M,,
12,Baton Rouge police shooting,"Baton Rouge, LA",7/17/2016,,Open,police,,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,3,,,former Marine,Yes,Black,M,,
13,Dallas police shooting,"Dallas, Texas",7/7/2016,at protest,Open,police,racism,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,5,25,,Army veteran,Unclear,Black,M,,
14,Orlando nightclub massacre,"Orlando, Florida",6/12/2016,at nightclub,Close,random,,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,0,29,,,Unclear,Other,M,,
15,"Ferguson, MO Drive by","Ferguson, Missouri",4/29/2016,,Open,random,,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,0,4,4,0,0,,,Unknown,Unknown,Unknown,38.744217,-90.305391
16,"Forestville, Maryland Drive-by",,4/26/2016,in street,Open,,,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",1,4,5,0,,,,Unknown,Unknown,Unknown,38.845113,-76.874972
17,"Halifax County, VA",,4/24/2016,crown,Open,random,,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",0,6,6,0,,,,Unknown,Black American or African American,Male,36.765971,-78.928344
18,Tire-Slashing revenge escalation,,4/21/2016,block party,Open,random,frustration,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,0,4,4,0,,,,Unknown,Black American or African American,Male,39.290385,-76.612189
19,Chicago Rap video Shootout,,4/19/2016,in a park,Open,random,,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,1,4,5,0,,,,Unknown,Unknown,Unknown,41.878114,-87.629798
20,Texas family murder-suicide,,4/19/2016,Home,Close,Family,domestic dispute,Man killed his wife and two young children before committing suicide. No explanation has been offered,4,0,4,0,,,,Unknown,White American or European American,Male,29.785785,-95.824396
21,Alabama highway random shooting,,4/19/2016,along a highway ,Open,random,,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",1,4,4,0,,,,Yes,White American or European American,Male,34.16204,-86.475543
22,Long Beach Street murder,,4/18/2016,at street corner,Open,random,terrorism,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",0,3,4,0,,,,Unknown,Unknown,Unknown,33.77005,-118.193739
23,"Albuquerque, NM House party shooting",,4/9/2016,at party,Close,uninvited guests,anger,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,0,4,4,0,,,,Unknown,White American or European American,Male,35.085334,-106.605553
24,"Memphis, TN gas station shooting",,4/9/2016,at gas station,Open,random,anger,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,0,4,4,0,,,,Unknown,Unknown,Unknown,35.149534,-90.04898
25,Chicago Birthday Party Bus Shooting,,4/7/2016,south shore,Open,birthday party bus,,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects. ,0,5,5,0,,,,Unknown,Unknown,Unknown,41.878114,-87.629798
26,"Albuquerque, NM Family restaurant shooting",,4/1/2016,restaurant,Close,Family,,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,3,1,3,0,,,,Unknown,Asian American,Male,35.085334,-106.605553
27,"Richmond, Virginia","Richmond, Virginia",3/31/2016,bus station,Open,Trooper,frustration,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooper’s immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",2,2,3,0,,,,Unknown,Black American or African American,Male,37.540725,-77.436048
28,"Louisburg, North Carolina","Louisburg, North Carolina",3/26/2016,,,,terrorism,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday — the day before the shootings.",3,0,3,,,,,Unknown,Black American or African American,Male,36.099039,-78.301106
29,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",3/25/2016,in home,Close,Family,domestic dispute,The man was suspected of shooting his wife and two sons on Friday morning at the family’s home. All three victims were initially shot inside the residence with a shotgun.,2,2,3,0,,,,Unknown,Unknown,Male,35.242302,-87.334739
30,"Greenhill, AL Family murder-suicide",,3/25/2016,home in rural Alabama,Close,Family,domestic dispute,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",2,2,3,0,,,,Yes,White American or European American,Male,34.759257,-86.602493
31,"Sherman, Texas Family Murder-Suicide","Sherman, Texas ",3/21/2016,,,Family,domestic dispute,"A man shot and killed his wife and two boys, then he turned the gun on himself.",4,0,3,0,,,,Unknown,Unknown,Male,33.635662,-96.60888
32,"Louisville, KY Family Murder-Suicide","Louisville, Kentucky",3/20/2016,Home,Close,Family,domestic dispute,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,4,0,3,0,,1,Military,Yes,White American or European American,Male,38.252665,-85.758456
33,"Plantation, Florida","Plantation, Florida",3/19/2016,Home,Close,party guests,,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,1,4,5,0,,,,Unknown,Unknown,Unknown,26.127586,-80.233104
34,Wetumpka Drive-by,"Wetumpka, Alabama",3/19/2016,"drive-by in Wetumpka, Alabama",Open,random,terrorism,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",2,2,4,0,,,,Unknown,Black American or African American,Male,32.543745,-86.211913
35,Atlanta Nightclub shooting,,3/15/2016,outside nightclub,Open,random,anger,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured. ,0,4,4,0,,,,Unknown,Unknown,Unknown,33.748995,-84.387982
36,Florida Family celebration ends in shooting,,3/13/2016,,,Family,,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",0,4,4,0,,,,Unknown,Unknown,Unknown,26.640628,-81.872308
37,"Elberton, Georgia murder-suicide",,3/12/2016,,Open,Family,domestic dispute,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",2,2,3,0,,,,Unknown,Unknown,Male,34.111223,-82.867084
38,"Trenton, NJ sidewalk shooting",,3/11/2016,"outside of an apartment complex in Trenton, NJ",Open,random,,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five. ",0,5,5,0,,,,Unknown,Unknown,Unknown,40.217053,-74.742938
39,Detroit Drive-by,,3/11/2016,,Open,random,,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,2,2,4,0,,,,Unknown,Unknown,Unknown,42.331427,-83.045754
40,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",3/9/2016,backyard of a house,Open,random,terrorism,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the woman’s 8-month-old fetus a homicide and raised the number of fatalities to six.",6,3,9,0,,,,Unknown,Unknown,Male,40.440625,-79.995886
41,Wilkinsburg BBQ cookout shootout,,3/9/2016,backyard of a house,Open,random,terrorism,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",5,3,8,0,,,,Unknown,Unknown,Male,40.441736,-79.881994
42,"Kansas City, Kansas","Kansas City, Kansas",3/7/2016,Home,Close,neighbors,,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",5,0,5,0,,,,Unknown,Some other race,Male,39.114053,-94.627464
43,"Lafayette, LA drive by",,3/7/2016,drive-by on MLK boulevard in Lafayette,Open,random,,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads. ",0,4,4,0,,,,Unknown,Unknown,Unknown,30.22409,-92.019843
44,Kansas City Home Invasion,,3/7/2016,Home,Close,neighbors,,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.",4,0,4,0,,,,Unknown,Some other race,Male,39.114053,-94.627464
45,"Chelsea, MA empty apartment party shooting","Chelsea, Massachusetts",3/6/2016,apartment in Chelsea,Close,party guests,terrorism,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",1,6,7,0,,,,Unknown,Some other race,Male,42.391764,-71.032828
46,"Roswell, GA Hookah shootout",,3/6/2016,,Open,random,anger,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries. ",0,4,4,0,,,,Unknown,Black American or African American,Male,34.023243,-84.361556
47,Wichita Nightclub shooting,,3/5/2016,outside the club,Open,random,anger,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured. ,0,4,4,0,,,,Unknown,Unknown,Unknown,37.687176,-97.330053
48,Detroit Strip Club Shootout,,2/28/2016,outside the club,Open,club members,anger,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",0,5,5,0,,,,Unknown,Black American or African American,Male,42.331427,-83.045754
49,Riverside restaurant shooting,,2/28/2016,restaurant parking,Open,random,,Shooter fired upon group of people in a restaurant parking lot,1,3,4,0,,,,Unknown,Some other race,Male,33.997197,-117.48548
50,"Woodbridge, Virginia","Woodbridge,  Virginia",2/27/2016,outside the house,Open,random,,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",2,2,4,3,,,,Unknown,Black American or African American,Male,38.6697,-77.3524
51,"Belfair, Washington","Belfair, Washington",2/26/2016,Home,Close,Family,domestic dispute,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",5,0,4,0,,,,Unknown,White American or European American,Male,47.5033,-122.931
52,Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,workplace,Close,random,,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,0,,1,manufacturing company,Unclear,Black,M,,
53,"Hesston, Kansas","Hesston, Kansas",2/25/2016,,Open,random,psycho,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",4,14,17,0,,1,factory,Unknown,Black American or African American,Male,38.1368,-97.4268
54,"Belfair, WA Family murder-suicide",,2/25/2016,Home,Close,Family,psycho,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",5,0,4,0,,,,Unknown,White American or European American,Male,47.451459,-122.826946
55,Arizona Family Murder,"Glendale, Arizona",2/23/2016,Home,Close,Family,psycho,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,5,0,4,0,,,,Unknown,White American or European American,Male,33.448377,-112.074037
56,Missouri Highway shooting,,2/21/2016,interstate in Hazelwood,Open,random,,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",1,3,4,0,,,,Unknown,Black American or African American,Male,38.77144,-90.370949
57,Houston Drive-by,,2/21/2016,,Open,random,,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",0,5,5,0,,,,Unknown,Unknown,Unknown,29.760427,-95.369803
58,Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,restaurant parking,Open,random,,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,0,,1,uber,Unclear,White,M,,
59,"Iuka, Mississippi","Iuka, Mississippi",2/20/2016,outside the house,Open,Policeman,domestic dispute,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",2,3,4,1,,,,Unknown,White American or European American,Male,34.7404,-88.1383
60,Florida Hookah Bar Shooting,,2/20/2016,hookah bar parking,Open,random,anger,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",1,3,4,0,,,,Unknown,Unknown,Unknown,27.950575,-82.457178
61,Kalamazoo Uber Driver Spree Killing,,2/20/2016,,Open,random,,An Uber driver fired upon people in three locations over the course of about 6 hours.,6,2,8,0,,1,uber,No,White American or European American,Male,42.291707,-85.587229
62,"Vallejo, CA car shooting",,2/19/2016,,Open,random,,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",2,2,4,0,,,,Unknown,Unknown,Unknown,38.104086,-122.256637
63,Michigan school shooting,,2/9/2016,outside gym,Open,random,psycho,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",0,3,3,0,,,,Unknown,Black American or African American,Male,43.201126,-86.238946
64,"Orlando, Florida","Orlando, Florida",2/7/2016,nightclub,Close,random,terrorism,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,2,10,12,0,,,,Unknown,Some other race,Male,28.4541,-81.4646
65,Nightclub fight turns into shootout,,2/7/2016,nightclub,Close,random,anger,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",1,7,8,0,,,,Unknown,Unknown,Unknown,43.16103,-77.610922
66,"Tampa, FL Strip club shooting",,2/6/2016,strip club,Close,random,,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",2,6,8,0,,,,Unknown,Unknown,Unknown,27.950575,-82.457178
67,"Los Angeles, CA street shooting",,2/6/2016,,Open,random,,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",1,3,4,0,,,,Unknown,Unknown,Unknown,34.052234,-118.243685
68,Texas teen commits family murder suicide,,2/6/2016,,Close,Family/Neighbors,psycho,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,4,0,3,0,,,,Unknown,White American or European American,Male,29.209684,-99.786168
69,New Orleans gas station shoot-out,,1/31/2016,gas station,Open,random,anger,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",0,3,3,0,,,,Unknown,Black American or African American,Male,29.951066,-90.071532
70,"Glendale, AZ House Party shooting",,1/30/2016,Home,Close,random,anger,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",3,5,8,0,,,,Unknown,Unknown,Male,33.538652,-112.185987
71,"Caroline County, VA Family Murder Suicide",,1/29/2016,,,Family,psycho,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",2,2,3,0,42,,,Unknown,Unknown,Male,38.044556,-77.286488
72,"Chesapeake, Virginia","Chesapeake, Virginia",1/27/2016,Home,Close,Family,psycho,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",6,0,5,0,,,,Yes,White American or European American,Male,36.7921,-76.3293
73,"Perris, CA Mexican restaurant shooting",,1/25/2016,restaurant,Close,random,,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,1,4,5,0,,,,Unknown,Unknown,Male,33.782519,-117.228648
74,Florida family murder,,1/23/2016,,,Family,,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",3,0,3,0,,,,Unknown,White American or European American,Male,30.754181,-86.572799
75,Los Angeles Drive-by,,1/23/2016,outside of liquor store,Open,random,terrorism,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",2,2,4,0,,,,Unknown,Unknown,Unknown,34.052234,-118.243685
76,"Gloucester County, VA, House Party",,1/17/2016,Home,Close,party guests,,"A young woman threw a house party for her birthday. It got very crowded. The shooter came and shot four people, killing one. There is some disagreement about his relation to the rest of the people at the party",1,3,4,0,,,,Unknown,Black American or African American,Male,37.40264,-76.458559
77,"Wilmington, DE robbery",,1/11/2016,Home,Close,random,,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.",1,4,5,0,,,,Unknown,Black American or African American,Male,39.739072,-75.539788
78,"Roadside in Memphis, Tennessee",,1/7/2016,,Open,random,,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.,1,3,4,0,,,,Unknown,Unknown,Unknown,35.149534,-90.04898
79,"Residence in Lakeland, Florida",,1/6/2016,Home,Close,drug dealer,,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.,3,1,4,0,,,,Unknown,Black American or African American,Male,28.039465,-81.949804
80,"Omaha, Nebraska","Omaha, Nebraska",12/6/2015,,,random,,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.,2,3,5,0,,,,Unknown,Black American or African American,Male,41.3138,-96.0814
81,San Bernardino mass shooting,"San Bernardino, California",12/2/2015,Christmas Party,Close,random,terrorism,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,0,,,,Unclear,Other,M/F,,
